bias,error-frac,errors,expressed-tpms,log-tpm-rho,median-percent-error,noise_perc,paired_end,quant_method,read_depth,read_length,sensitivity,specificity,stranded
True,0.80068,True,10656,0.90826,-5.64651,10,False,Kallisto,50,50,0.99296,0.49777,True
True,0.64979,True,10588,0.99199,-6.65329,0,False,Kallisto,50,75,0.98697,0.97655,True
True,0.80306,True,10582,0.91551,-4.77506,10,False,Kallisto,50,75,0.99433,0.50286,True
True,0.66021,True,10530,0.99352,-6.76866,0,False,Kallisto,50,100,0.98528,0.97508,True
True,0.80746,True,10621,0.90925,-5.17340,10,False,Kallisto,50,100,0.99237,0.51074,True
True,0.77409,True,10460,0.98904,-18.57554,0,False,Express,50,50,0.95526,0.98433,True
True,0.87369,True,10656,0.88301,-9.45427,10,False,Express,50,50,0.98855,0.40501,True
True,0.75359,True,10588,0.98947,-16.18585,0,False,Express,50,75,0.95079,0.98346,True
True,0.86260,True,10582,0.89131,-7.86545,10,False,Express,50,75,0.98668,0.41786,True
True,0.72858,True,10530,0.99087,-13.56619,0,False,Express,50,100,0.94967,0.98314,True
True,0.84898,True,10621,0.89273,-7.09909,10,False,Express,50,100,0.98512,0.42646,True
True,0.70038,True,10460,0.98850,-10.40001,0,False,Sailfish,50,50,0.98117,0.97815,True
True,0.87359,True,10656,0.89458,-10.03149,10,False,Sailfish,50,50,0.99071,0.48873,True
True,0.67841,True,10588,0.99007,-8.59151,0,False,Sailfish,50,75,0.98593,0.97568,True
True,0.85334,True,10582,0.90264,-7.47550,10,False,Sailfish,50,75,0.99253,0.49206,True
True,0.64995,True,10530,0.99242,-6.77582,0,False,Sailfish,50,100,0.98443,0.97616,True
True,0.84757,True,10621,0.89740,-7.03816,10,False,Sailfish,50,100,0.99200,0.50239,True
True,0.69576,True,10472,0.97549,0.43446,0,False,Cufflinks,30,50,0.97775,0.98004,False
True,0.75233,True,10639,0.92238,-1.84141,10,False,Cufflinks,30,50,0.98327,0.69365,False
True,0.69358,True,10489,0.97686,-0.30805,0,False,Cufflinks,30,75,0.97550,0.98514,False
True,0.75804,True,10477,0.92254,-1.83184,10,False,Cufflinks,30,75,0.98272,0.69276,False
True,0.69260,True,10527,0.97924,-0.53528,0,False,Cufflinks,30,100,0.97435,0.98626,False
True,0.74788,True,10519,0.93298,-0.31401,10,False,Cufflinks,30,100,0.98175,0.70875,False
True,0.91950,True,10472,0.98313,-35.52392,0,False,Salmon,30,50,0.97068,0.97118,False
True,0.93364,True,10639,0.89661,-32.16617,10,False,Salmon,30,50,0.98468,0.51000,False
True,0.88292,True,10489,0.98291,-27.78128,0,False,Salmon,30,75,0.97359,0.97337,False
True,0.92068,True,10477,0.88745,-27.91429,10,False,Salmon,30,75,0.98778,0.48985,False
True,0.84839,True,10527,0.98484,-23.52284,0,False,Salmon,30,100,0.97321,0.97788,False
True,0.91758,True,10519,0.89380,-24.61170,10,False,Salmon,30,100,0.98698,0.49796,False
True,0.25487,True,10472,0.99640,-2.50189,0,False,RSEM,30,50,0.98644,0.97855,False
True,0.82771,True,10639,0.91585,-7.94422,10,False,RSEM,30,50,0.99239,0.48544,False
True,0.32043,True,10489,0.99577,-2.50175,0,False,RSEM,30,75,0.98484,0.98225,False
True,0.81760,True,10477,0.91300,-7.20652,10,False,RSEM,30,75,0.99313,0.48580,False
True,0.52845,True,10527,0.99565,-8.42287,0,False,RSEM,30,100,0.98072,0.98701,False
True,0.84609,True,10519,0.92861,-12.35463,10,False,RSEM,30,100,0.99030,0.52070,False
True,0.64114,True,10472,0.99362,-5.95138,0,False,Kallisto,30,50,0.98577,0.97449,False
True,0.79406,True,10639,0.91827,-5.12426,10,False,Kallisto,30,50,0.99239,0.49413,False
True,0.65478,True,10489,0.99290,-5.37981,0,False,Kallisto,30,75,0.98370,0.98075,False
True,0.80004,True,10477,0.90567,-3.50482,10,False,Kallisto,30,75,0.99303,0.47608,False
True,0.65916,True,10527,0.99333,-5.61888,0,False,Kallisto,30,100,0.98034,0.98175,False
True,0.81396,True,10519,0.91130,-5.50755,10,False,Kallisto,30,100,0.99021,0.48520,False
True,0.77874,True,10472,0.98908,-18.29792,0,False,Express,30,50,0.94996,0.98239,False
True,0.86766,True,10639,0.89385,-8.87437,10,False,Express,30,50,0.98844,0.35905,False
True,0.74621,True,10489,0.98914,-15.32823,0,False,Express,30,75,0.94070,0.98439,False
True,0.86637,True,10477,0.88005,-6.95783,10,False,Express,30,75,0.98778,0.34558,False
True,0.74190,True,10527,0.98944,-13.07260,0,False,Express,30,100,0.93626,0.98432,False
True,0.85759,True,10519,0.89393,-7.07206,10,False,Express,30,100,0.98593,0.36033,False
True,0.69366,True,10472,0.99048,-9.89719,0,False,Sailfish,30,50,0.98224,0.97246,False
True,0.85920,True,10639,0.89995,-9.71632,10,False,Sailfish,30,50,0.99088,0.49044,False
True,0.67518,True,10489,0.99040,-7.59607,0,False,Sailfish,30,75,0.98170,0.97615,False
True,0.85826,True,10477,0.89019,-7.55102,10,False,Sailfish,30,75,0.99236,0.47127,False
True,0.65470,True,10527,0.99135,-5.23558,0,False,Sailfish,30,100,0.98053,0.98153,False
True,0.85759,True,10519,0.89627,-7.78041,10,False,Sailfish,30,100,0.98983,0.48080,False
True,0.69064,True,10525,0.97263,-3.07733,0,False,Cufflinks,30,50,0.97834,0.97810,True
True,0.85396,True,10545,0.89561,5.86475,10,False,Cufflinks,30,50,0.97686,0.72558,True
True,0.77743,True,10653,0.97110,0.08962,0,False,Cufflinks,30,75,0.97400,0.98019,True
